id,name,followers,favourites
481,flagstad_bog,13440,22744
482,ClaudiaBerbeo,13599,2420
483,OnSpecEd,13605,168
484,PTA_Colombia,13891,5140
485,xarxatic,13991,699
486,ineverycrea,14029,3998
487,Engativalcaldia,14412,3306
488,DirComunicacion,15085,3658
489,togethercounts,15384,814
490,nuriavilanova,15417,1027
491,CaroyCuervo,15442,6954
492,unab_online,15543,4810
493,CanTeachersFed,15575,9689
494,VRI_UN,15624,5821
495,serpilo_paga,15839,3843
496,MarthaECamargo,15894,2625
497,MnDeptEd,17657,219
498,Magisnet,17713,3180
499,AlcaldChapinero,17774,11187
500,DebMeier,17834,8526
501,FulbrightCol,17850,2018
502,gregoriotoribio,18224,264
503,unimagdalena,18673,547
504,ASCUN1,18708,1958
505,MariaFCampo,18750,132
506,GreatSchools,18827,2347
507,FLACSOARGENTINA,18925,91
508,puntoCO,19217,1797
509,CooperacionIB,19364,17801
510,AmericaGovEsp,20146,468
511,SemanaEd,20425,1748
512,balhisay,20484,5817
513,Kind_Spring,20496,240
514,DescontaminaCO,21085,4200
515,metas2021,22208,5218
516,ernestocortes28,22214,67
517,FundacioBofill,22521,5466
518,FTelefonicaCo,22956,2461
519,NFHS_Org,22986,7368
520,UNICEFinnovate,23252,3581
521,ConversacionCOL,23266,5671
522,UFT,23719,3919
523,YanethGiha,23838,3170
524,SeResponsable,23882,159
525,BBVA_Colombia,24173,2479
526,EducacionBA,24196,233
527,Diego_Molano,24312,4504
528,Metrics_Digital,24486,260
529,jackiegerstein,24510,11104
530,TeacherPrize,24568,28823
531,CINUBogota,24865,196
532,ochacolombia,25782,842
533,EducacionFT_Co,26079,84
534,FiftyCAN,26427,5232
535,aulablog,26634,1343
536,UTPereira,26718,281
537,onucolombia,26909,2859
538,RedesColombia,28557,5949
539,educa3_0,28895,644
540,NYTimesLearning,29005,2627
541,SosSemana,29152,154
542,SVNPOFoundation,29214,1349
543,unisalle,29301,2097
544,DeCeroaSiempre,29693,858
545,DAFP_COLOMBIA,30104,2568
546,nsvf,30536,492
547,UExternado,31165,571
548,campuspartyco,31935,1461
549,BrandColombia,32397,248
550,EducacionFutura,32490,278
551,jordi_a,32685,4546
552,TodosEducacion,33069,10964
553,educacyl,33432,10281
554,PantallasAmigas,34367,1393
555,globaleducation,34878,467
556,HPEDU,35289,239
557,EDUCACIONPR,35363,1956
558,RedBibliotecas,36776,4131
559,CMNUCC,37493,822
560,CuadernosP,38470,56
561,RedeSciELO,39618,232
562,hacesfalta,39840,1564
563,Portaltic,40288,1027
564,RubenRabines,40311,4746
565,Cataescobarr,40421,339
566,_CLACSO,40613,6517
567,Poligran,41274,3155
568,AECID_es,41803,3163
569,Alpina,41881,3765
570,aulaPlaneta,42280,11604
571,ADR_Colombia,42451,2368
572,MegustaleerCo,42452,34647
573,leeres,42908,3231
574,educaINEE,43134,1588
575,Banrepcultural,44238,6588
576,Todelar,44341,497
577,educator,44641,291
578,udecaldas,44828,1062
579,fmisangre,45385,1511
580,educajccm,46850,3278
581,EDUCAWEB,48684,603
582,UNColombia,48712,9414
583,UniversiaCol,49718,468
584,ucatolica,50819,406
585,upbcolombia,50924,8446
586,eduteka,51459,276
587,A_delPacifico,52137,3213
588,ensenyamentcat,53801,62
589,BBVAInnovation,54244,12290
590,docente2punto0,54579,103
591,REDBavaria,56069,1447
592,WISE_Tweets,57622,3517
593,educalab,59447,4182
594,UNICEFColombia,59901,3199
595,EspacioOEI,60192,16957
596,enlight_ED,60373,1051
597,dreig,60870,4284
598,MHEducation,61077,5350
599,maestros,61315,237
600,ColombiaJoven,62593,8427
601,getschooled,64045,26568
602,PnudColombia,65315,5226
603,GEMReport,66123,792
604,educaCNIIE,67118,516
605,AverroesPortal,67979,85
606,karenabudi,68769,14745
607,UnidadVictimas,72860,6766
608,EquipoPazGob,75220,130
609,freddier,75774,21998
610,FutureLearn,75788,32577
611,PublimetroCol,76979,2930
612,camaracomerbog,77192,4376
613,rweingarten,82189,2138
614,ANDI_Colombia,82457,259
615,globalcompact,85446,2788
616,RadioEducacion,85553,4207
617,EdTrust,85779,17541
618,OECDEduSkills,86082,496
619,educacion2,86665,4942
620,FILBogota,86790,6232
621,UniJaveriana,87489,3384
622,BibliotecaNalCo,92782,43291
623,CorferiasBogota,97710,7834
624,RTVCco,98524,8140
625,PIRegistry,100400,2431
626,canaltelecafe,100425,5513
627,ocdeenespanol,104660,982
628,Uniandes,104813,507
629,TeachersNet,106455,1988
630,Red_Carolina,111623,809
631,educacionTIC,113848,276
632,EAFIT,117500,3391
633,colombiadigital,117839,5848
634,tributumxxi7,118645,623
635,RevistaArcadia,123007,1291
636,frankstrada,124034,806
637,Yoriento,125680,66
638,hgse,135656,4056
639,PlanetarioMed,136507,6205
640,EducationNext,138572,2423
641,OfficeofEdTech,139200,2352
642,fdncenter,139829,5002
643,educacion3_0,140684,402
644,InstitucionalTV,140785,6174
645,NYCSchools,150582,3353
646,TeachForAmerica,151070,29269
647,colombiaenfotos,152367,116
648,MichaelEPorter,157246,123
649,educaciongob,164562,283
650,educaINTEF,169780,1027
651,USEmbassyBogota,188970,779
652,UNICEFenEspanol,189541,6569
653,FCEColombia,192577,8260
654,Educacion2020,201433,13002
655,ECOPETROL_SA,212390,1468
656,ProsperidadCol,212725,3149
657,CancilleriaCol,214628,655
658,Edudemic,218676,94
659,JoseCarlosTecno,221319,6340
660,MincomercioCo,225796,2138
661,PencilsOfPromis,228033,4659
662,lunadavid,230459,6051
663,harvardmed,234390,4864
664,ONUMujeres,241139,207
665,PrensaUN,248355,665
666,GobDigitalCO,253860,9607
667,Storify,260848,1749
668,Minvivienda,260873,2069
669,EdWeekTeacher,265421,996
670,educationnation,271373,14018
671,BancoRepublica,272098,261
672,YolandaRuizRCN,273279,381
673,SecretaryKing44,276849,505
674,USNewsEducation,293575,1377
675,pnud,309566,8042
676,INEXMODA,314202,1329
677,OnGood,348051,2618
678,el_BID,364556,130
679,BancoMundial,384302,1564
680,UNESCO_es,395605,28854
681,ENTERCO,455318,4081
682,CanalCapital,481142,15185
683,Shell,496122,1433
684,IvanDuque,515976,601
685,elpais_cultura,537315,95
686,OECD,557578,1744
687,ginaparody,590877,2903
688,lasillaenvivo,635877,226
689,SenalColombia,658184,30397
690,SENAComunica,678842,15859
691,klout,685241,2171
692,SEP_mx,714129,3066
693,educationweek,761408,131
694,infopresidencia,764601,1603
695,OEA_oficial,765645,8717
696,RevistaDinero,774603,226
697,Oxfam,829933,14628
698,Harvard,858544,7277
699,CSIC,919029,2435
700,ONU_es,1029853,199
701,BogotaET,1046548,628
702,RAEinforma,1185835,873
703,NoticiasUno,1482578,2591
704,elcolombiano,1786569,32547
705,gatesfoundation,1872184,3005
706,Citytv,2663212,3150
707,UNESCO,3007270,12816
708,RevistaSemana,4054267,2498
709,elespectador,4598319,18754
710,ELTIEMPO,6406571,5487
711,UNICEF,7192593,6536
712,hootsuite,7966483,22515
713,TEDTalks,10995917,4727
