id,value
ant,
ant.simonrodriguezi,
ant.Corpoeducacion.onucolombia,26909,2859
ant.Corpoeducacion.Hacerlapazes,579,281
ant.Corpoeducacion.aca_ciencia,5310,4322
ant.Corpoeducacion.RNBPColombia,4807,1241
ant.Corpoeducacion.SOLIDWORKSedu,12737,3736
ant.Corpoeducacion.redAlumnos,5091,261
ant.Corpoeducacion.silviavinas,3163,1288
ant.Corpoeducacion.CuadernosP,38470,56
ant.Corpoeducacion.RedRelata,1883,1269
ant.Corpoeducacion.teresaeca,52,1
ant.Corpoeducacion.Banrepcultural,44238,6588
ant.Corpoeducacion.DIEB_UN,12303,1290
ant.Corpoeducacion.incolballet,3070,1239
ant.Corpoeducacion.webclemencia,25,0
ant.Corpoeducacion.filarmonibogota,52328,9764
ant.Corpoeducacion.ginaparody,590877,2903
ant.Corpoeducacion.PnudColombia,65315,5226
ant.Corpoeducacion.CarmenVCultura,1388,1056
ant.Corpoeducacion.mariaacaso,12224,205
ant.Corpoeducacion.LucinaJimenez,4225,3116
ant.Corpoeducacion.duvalvives,260,452
ant.Corpoeducacion.RedAcademica,3143,11999
ant.Corpoeducacion.StreamingCol,1247,2291
ant.Corpoeducacion.CanalCapital,481142,15185
ant.Corpoeducacion.RevistaArcadia,123007,1291
ant.Corpoeducacion.idartes,115473,1486
ant.Corpoeducacion.SemanaEd,20425,1748
ant.Corpoeducacion.Todelar,44341,497
ant.Corpoeducacion.AcademicsIT,222,0
ant.Corpoeducacion.Dividendo1,913,2723
ant.Corpoeducacion.Margarita_T_N,195,9
ant.Corpoeducacion.eduint,11352,2849
ant.Corpoeducacion.UTPereira,26718,281
ant.Corpoeducacion.unite4ed,6046,49
ant.Corpoeducacion.TodosEducacion,33069,10964
ant.Corpoeducacion.EscuelaCo,2271,310
ant.Corpoeducacion.educaenvigado,3251,1866
ant.Corpoeducacion.Cataescobarr,40421,339
ant.Corpoeducacion.twitrbackground,354382,2
ant.Corpoeducacion.Storify,260848,1749
ant.Corpoeducacion.REDPatodos,180,5
ant.Corpoeducacion.MonsieurAlain,302,78
ant.Corpoeducacion.oscarauza,787,273
ant.Corpoeducacion.nmolano,4007,2626
ant.Corpoeducacion.nicolasweb20,982,1415
ant.Corpoeducacion.Lolita_Cerilla,1744,8564
ant.Corpoeducacion.florentdsouza,1516,2084
ant.Corpoeducacion.WISE_Tweets,57622,3517
ant.Corpoeducacion.BibliotecaNalCo,92782,43291
ant.Corpoeducacion.NayibeYaver,103,1719
ant.Corpoeducacion.miguecalzado,441,129
ant.Corpoeducacion.tributumxxi7,118645,623
ant.Corpoeducacion.FunCarvajal,4523,206
ant.Corpoeducacion.bblmpr,331,52
ant.Corpoeducacion.DeCeroaSiempre,29693,858
ant.Corpoeducacion.MariaFCampo,18750,132
ant.Corpoeducacion.anavrodriquezv,687,937
ant.Corpoeducacion.BBVAInnovation,54244,12290
ant.Corpoeducacion.NYTimesLearning,29005,2627
ant.Corpoeducacion.NotiPedagogia,270,2
ant.Corpoeducacion.decanopostgrado,1915,3331
ant.Corpoeducacion.pedagogovirtual,1362,60
ant.Corpoeducacion.ICFEScol,42296,1960
ant.Corpoeducacion.AmericaGovEsp,20146,468
ant.Corpoeducacion.manujas4,375,1155
ant.Corpoeducacion._CLACSO,40613,6517
ant.Corpoeducacion.fundcorona,8848,1512
ant.Corpoeducacion.USEmbassyBogota,188970,779
ant.Corpoeducacion.OEB_Bello,349,0
ant.Corpoeducacion.TocaColombia,256,3
ant.Corpoeducacion.iwiedmann,406,574
ant.Corpoeducacion.balhisay,20484,5817
